Value;Shortcut;Kategory;Implemented since;Comment;EdeText
159;ms;Time;From beginning?;;milliseconds
160;Nm;Torque;From beginning?;;newton-meters
161;mm/s;Velocity;From beginning?;;millimeters-per-second
162;mm/min;Velocity;From beginning?;;millimeters-per-minute
163;m/min;Velocity;From beginning?;;meters-per-minute
164;m/h;Velocity;From beginning?;;meters-per-hour
165;m³/min;Unknown;five units in Addendum 135-2012bg;;cubic-meters-per-minute
166;m/s²;Unknown;Unknown;;meters-per-second-per-second
167;A/m;Electrical;From beginning?;;amperes-per-meter
168;A/m²;Electrical;From beginning?;;amperes-per-square-meter
169;Am²;Electrical;From beginning?;;ampere-square-meters
170;F;Electrical;From beginning?;;farads
171;H;Electrical;From beginning?;;henrys
172;Ohmm;Electrical;From beginning?;;ohm-meters
173;S;Electrical;From beginning?;1 mho equals 1 siemens;siemens
174;S/m;Electrical;From beginning?;;siemens-per-meter
175;T;Electrical;From beginning?;;teslas
176;V/K;Electrical;From beginning?;;volts-per-degree-kelvin
177;V/m;Electrical;From beginning?;;volts-per-meter
178;Wb;Electrical;From beginning?;;webers
179;cd;Light;From beginning?;;candelas
180;cd/m²;Light;From beginning?;;candelas-per-square-meter
181;K/h;Temperature;From beginning?;;degrees-kelvin-per-hour
182;K/min;Temperature;From beginning?;;degrees-kelvin-per-minute
183;Js;Other;From beginning?;;joule-seconds
184;rad/s;Other;From beginning?;;radians-per-second
185;m²/N;Other;From beginning?;;square-meters-per-newton
186;kg/m³;Other;From beginning?;;kilograms-per-cubic-meter
187;Ns;Other;From beginning?;;newton-seconds
188;N/m;Other;From beginning?;;newtons-per-meter
189;W/m K;Other;From beginning?;;watts-per-meter-per-degree-kelvin
190;µS;Electrical;From beginning?;;micro-siemens
191;cf/h;Unknown;One unit in Addendum 135-2012bg;;cubic-feet-per-hour
192;G/h;Unknown;five units in Addendum 135-2012bg;;us-gallons-per-hour
193;km;Length;From beginning?;;kilometers
194;µm;Length;From beginning?;;micrometers
195;g;Mass;From beginning?;;grams
196;mg;Mass;From beginning?;;milligrams
197;ml;Volume;From beginning?;;milliliters
198;ml/s;Unknown;five units in Addendum 135-2012bg;;milliliters-per-second
199;dB;Electrical;From beginning?;;decibels
200;dBV;Electrical;From beginning?;;decibels-millivolt
201;dBmV;Electrical;From beginning?;;decibels-volt
202;mS;Electrical;From beginning?;;millisiemens
203;Whr;Energy;From beginning?;;watt-hours-reactive
204;kWhr;Energy;From beginning?;;kilowatt-hours-reactive
205;MWhr;Energy;From beginning?;;megawatt-hours-reactive
206;mmWS;Pressure;From beginning?;;millimeters-of-water
207;‰;Other;From beginning?;;per-mille
208;g/g;Other;From beginning?;;grams-per-gram
209;kg/kg;Other;From beginning?;;kilograms-per-kilogram
210;g/kg;Other;From beginning?;;grams-per-kilogram
211;mg/g;Other;From beginning?;;milligrams-per-gram
212;mg/kg;Other;From beginning?;;milligrams-per-kilogram
213;g/ml;Other;From beginning?;;grams-per-milliliter
214;g/l;Other;From beginning?;;grams-per-liter
215;mg/l;Other;From beginning?;;milligrams-per-liter
216;µg/l;Other;From beginning?;;micrograms-per-liter
217;g/m3;Other;From beginning?;;grams-per-cubic-meter
218;mg/m3;Other;From beginning?;;milligrams-per-cubic-meter
219;µg/m3;Other;From beginning?;;micrograms-per-cubic-meter
220;ng/m3;Other;From beginning?;;nanograms-per-cubic-meter
221;g/cm3;Other;From beginning?;;grams-per-cubic-centimeter
222;Bq;Other;From beginning?;;becquerels
223;kBq;Other;From beginning?;;kilobecquerels
224;MBq;Other;From beginning?;;megabecquerels
225;Gy;Other;From beginning?;;gray
226;mGy;Other;From beginning?;;milligray
227;µGy;Other;From beginning?;;microgray
228;Sv;Other;From beginning?;;sieverts
229;mSv;Other;From beginning?;;millisieverts
230;µSv;Other;From beginning?;;microsieverts
231;µSv/h;Other;From beginning?;;microsieverts-per-hour
232;dB(a);Unknown;two units in Addendum 135-2012bg;;decibels-a
233;NTU;Unknown;two units in Addendum 135-2012bg;;nephelometric-turbidity-unit
234;;Unknown;two units in Addendum 135-2012bg;;pH
235;g/m2;Unknown;two units in Addendum 135-2012bg;;grams-per-square-meter
236;min/K;Unknown;Since Addendum 135-2012ar;;minutes-per-degree-kelvin
237;;Unknown;Since Addendum 135-2012ar;;ohm-meter-squared-per-meter
238;;Unknown;Since Addendum 135-2012ar;;ampere-seconds
239;;Unknown;Since Addendum 135-2012ar;;volt-ampere-hours
240;;Unknown;Since Addendum 135-2012ar;;kilovolt-ampere-hours
241;;Unknown;Since Addendum 135-2012ar;;megavolt-ampere-hours
242;;Unknown;Since Addendum 135-2012ar;;volt-ampere-hours-reactive
243;;Unknown;Since Addendum 135-2012ar;;kilovolt-ampere-hours-reactive
244;;Unknown;Since Addendum 135-2012ar;;megavolt-ampere-hours-reactive
245;;Unknown;Since Addendum 135-2012ar;;volt-square-hours
246;;Unknown;Since Addendum 135-2012ar;;ampere-square-hours
247;;Unknown;Since Addendum 135-2012ar;;joule-per-hours
248;;Unknown;Since Addendum 135-2012ar;;cubic-feet-per-day
249;;Unknown;Since Addendum 135-2012ar;;cubic-meters-per-day
250;;Unknown;Since Addendum 135-2012ar;;watt-hours-per-cubic-meter
251;;Unknown;Since Addendum 135-2012ar;;joules-per-cubic-meter
252;;Unknown;Since Addendum 135-2012ar;;mole-percent
253;;Unknown;Since Addendum 135-2012ar;;pascal-seconds
254;;Unknown;One unit in Addendum 135-2012bg;;million-standard-cubic-feet-per-minute
47808;;Unknown;five units in Addendum 135-2012bg;;standard-cubic-feet-per-day
47809;;Unknown;five units in Addendum 135-2012bg;;million-standard-cubic-feet-per-day
47810;;Unknown;five units in Addendum 135-2012bg;;thousand-cubic-feet-per-day
47811;;Unknown;five units in Addendum 135-2012bg;;thousand-standard-cubic-feet-per-day
47812;;Unknown;five units in Addendum 135-2012bg;;pounds-mass-per-day
47814;;Unknown;two units in Addendum 135-2012bg;;millirems
47815;;Unknown;two units in Addendum 135-2012bg;;millirems-per-hour
47816;;;Since Addendum 135-2020ar;;degrees-lovibond
47817;;;Since Addendum 135-2020ar;;alcohol-by-volume
47818;;;Since Addendum 135-2020ar;;international-bittering-units
47819;;;Since Addendum 135-2020ar;;european-bitterness-units
47820;;;Since Addendum 135-2020ar;;degrees-plato
47821;;;Since Addendum 135-2020ar;;specific-gravity
47822;;;Since Addendum 135-2020ar;;european-brewing-convention
